Living Area,Price
106,7 000 000
160,4 895 000
132,5 850 000
84,4 900 000
199,10 300 000
140,6 700 000
131,6 800 000
171,6 120 000
110,5 350 000
150,7 700 000
162,7 250 000
120,6 000 000
90,4 600 000
75,3 625 000
105,5 000 000
192,5 900 000
110,3 400 000
194,6 450 000
152,7 550 000
108,4 050 000
80,1 900 000
173,6 550 000
125,6 330 000
120,6 080 000
212,7 850 000
210,7 800 000
121,4 900 000
117,7 300 000
240,6 900 000
65,3 400 000
188,7 100 000
72,4 597 000
226,8 600 000
120,4 050 000
145,7 700 000
105,5 300 000